Habitats,M.jur,G.cleo,M.lar,P.bra,P.ica,T.act,C.croc,B.cir,O.sylv,L.sin,C.arg,K.rox,T.sylv,H.volg,L.phle,A.ages ,M.did,A.paph,P.rap,L.red,V.car,L.cel,S.aca,G.rham,L.piri,H.syr,I.pod,L.meg,S.ili,M.cin,V.ata,P.aeg,N.pol,P.egea,C.jas,P.alex,C.alc,P.edu,C.mars,C.pam,L.otto,L.mae,F.quer,L.boe,P.malv,P.man,A.pand,P.mach,P.armo,S.orb,E.aus
Evergreen,47,5,0,7,3,9,5,0,2,4,3,0,3,0,0,1,5,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Deciduous,24,2,0,26,0,0,0,0,0,0,0,9,0,5,0,0,0,1,0,5,0,0,0,0,0,1,0,1,3,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
OliveGrove,238,25,0,9,24,62,20,1,18,58,1,0,12,0,18,6,4,7,5,0,3,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maquis,50,65,36,7,6,15,13,51,4,0,5,0,6,2,0,0,0,0,2,2,1,4,0,5,12,0,0,4,0,1,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Phrygana,35,25,267,22,12,13,9,16,22,0,12,40,5,34,2,0,6,1,2,2,5,6,7,1,0,11,6,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Successional,93,37,0,0,5,10,3,25,33,3,3,0,16,0,0,0,9,5,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural,203,5,0,1,26,0,2,3,0,0,0,0,1,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Dunes,1,4,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshlands,9,20,0,6,5,3,4,3,0,0,0,0,2,0,3,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LowlandRiver,57,4,0,9,27,6,11,2,1,14,3,0,4,0,6,14,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighlandRiver,29,19,0,13,8,0,4,1,7,7,21,0,0,0,2,1,2,18,3,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lagoon,6,28,0,4,54,0,3,0,1,2,2,0,0,0,3,9,0,0,7,1,3,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SaltFlats,11,4,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LargeTown,12,91,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
SmallTown,13,163,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0,3,5,1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mixed,80,35,52,58,25,8,34,4,15,2,20,14,13,20,14,12,13,7,10,25,9,14,21,10,0,5,4,2,10,11,6,0,4,7,0,3,2,5,0,0,3,0,1,0,2,0,2,0,0,1,1
